الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة  بالريال السعودي
أمانة منطقة حائل,توريد أشجار لأمانة منطقة حائل,2023-05-29,3724850.0
هيئة المساحة الجيولوجية السعودية,تجديد وتمكين الانتفاع برخص برمجيات مايكروسوفت - انظمة تشغيل وبرمجيات,2023-03-26,9491971.2
أمانة منطقة عسير,الدعم الفني لدرء أخطار السيول لدرء أخطار السيول وتصريف شبكات ميا الأمطار لأمانة منطقة عسير,2023-07-24,16394400.0
وزاة التجارة,توريد أجهزة هواتف شبكية,2023-04-26,355522.5
مستشفى الملك فيصل التخصصي ومركز الأبحاث,توريد قطع الغيار اللازمة لتشغيل أجهزة التعقيم بمستشفى الملك فيصل التخصصي ومركز الابحاث,2023-05-22,408000.0
بلدية بني عمرو,صيانة الطرق والشوارع ببنى عمرو,2023-05-27,1283975.0
بلدية العالية,سفلتة وارصفة وانارة للأمانة والبلديات التابعة لها (بلدية العالية),2023-05-25,2836609.55
المركز الوطني لتنمية الحياة الفطرية,انتاج سلسلة قصصية مصورة ( مانجا) ,2023-05-11,1978000.0
المركز الوطني لتنمية الحياة الفطرية,تصميم ونشر مواد توعوية على منصات التواصل الإجتماعي,2023-04-07,420210.0
الهيئة العامة للنقل,تأمين قاعات الاجتماعات بنظام اتصال مرئي وصوتي والبث عن بعد بمقر الهيئة الرئيسي بالرياض وفروعها في الرياض وجدة والمنطقة الشرقية,2023-04-14,389850.0
المؤسسة العامة لتحلية المياه المالحة,توريد انابيب لمحطات تحلية الجبيل 60008999,2023-06-11,190564.2
المديرية العامة للشؤون الصحية بمنطقة جازان,تطوير وتحسين قسم الطوارئ بمستشفى الملك فهد المركزي .,2023-04-10,7979499.25
المؤسسة العامة لتحلية المياه المالحة,توريد وتركيب وتشغيل وحدات التكييف الجدارية ووحدات الإضاءة لمبنى إدارة الصيانة المركزية بمنظومة إنتاج الشعيبة   ,2023-03-09,400200.0
أمانة منطقة الباحة,عملية الارشفة الالكترونية - المرحلة الثالثة (أمانة منطقة الباحة),2023-02-27,3593000.0
جامعة تبوك,أعمال سفلتة وصيانة طرق داخل المدينة الجامعية وبالموقع العام لكليات البنات بالمصيف,2023-03-30,506000.0
أمانة العاصمة المقدسة,تشغيل وصيانة شبكات أبراج الإنارة بمكة المكرمة,2023-06-14,11464350.0
المركز الوطني لتنمية الحياة الفطرية,انتاج سلسلة رسوم متحركة للأطفال بهدف التوعية بالتنوع الاحيائي بالمملكة واهمية المحافظة عليها,2023-05-16,1473150.0
المركز الوطني لتنمية الحياة الفطرية,إعداد ونشر مجلة الوضيحي,2023-04-07,6890685.0
وزارة الموارد البشرية و التنمية الاجتماعية,عقد اعمال النظافة العامة والصيانة لمباني بعض فروع الوزارة بمنطقة (عسير/جازان/نجران/الباحة) (المجموعة الرابعة),2023-07-09,107246102.27
هيئة الصحة العامة, إنشاء وتجهيز وتطوير مكاتب بالجناح B وD والدور الثالث,2023-07-26,4960076.5
المركز الوطني لتنمية الحياة الفطرية,توريد ماء صالح للشرب لمركز الملك خالد لأبحاث الحياة الفطرية ووحدة إيواء الكائنات الفطرية بالثمامة,2023-02-10,2414448.0
الشئون الصحية بمنطقة نجران,منافسة تأمين بنود وأجهزة غير طبية لمسشفى الولادة والأطفال بصحة منطقة نجران ,2023-04-27,431974.5
وزارة البيئة والمياه والزراعة, حفر عدد 3 آبار مراقبة في كل من حقل آبار السليل والافلاج والصقيعاء,2023-03-19,5847922.5
أمانة منطقة الباحة,صيانة طرق وشوارع بجنوب بلدية محافظة المخواة - أمانة منطقة الباحة ,2023-03-13,17496399.0
بلدية محافظة البدائع,مشروع صيانة الطرق والشوارع بمحافظة البدائع والقرى التابعة لها ,2023-04-09,11960000.0
المركز الوطني لتنمية الحياة الفطرية,مشروع عزل غرفة مولدات مبانى التميز بمركز الامير سعود الفيصل لابحاث الحياة الفطرية -بالطائف,2023-05-16,399050.0
جامعة الامام محمد بن سعود الاسلامية,إنشاء مواقف لسيارات القولف,2023-06-11,557750.0
وزاة التجارة,تأمين وتوريد مياه شرب معبأة لوزارة التجارة وجميع فروعها في المملكة,2023-05-14,282667.5
جامعة الأمير سطام بن عبدالعزيز,صيانة أجهزة البصمة بالجامعة,2023-02-27,414000.0
أمانة محافظة جدة,تنفيذ حلول لتصريف مياه الأمطار لمنطقة وادي عشير - 16972,2023-07-09,249076775.0
المركز الوطني لتنمية الحياة الفطرية,توريد ونقل محروقات لخزانات مراكز الأبحاث والإكثار,2023-03-09,1890357.12
المؤسسة العامة لتحلية المياه المالحة,توريد اكواع انابيب لمحطات تحلية الجبيل 60008998,2023-06-13,1112273.1
المؤسسة العامة لتحلية المياه المالحة,توريد انابيب لمحطات تحلية الجبيل 60009116,2023-05-17,245433.0
بنك التنمية الاجتماعية,  أغلاق الجسر بالكامل للمبني الرئيسي للبنك,2023-06-12,3220000.0
امانة محافظة حفر الباطن,توريد اعمدة انارة بأمانة حفر الباطن,2023-03-07,4460505.0
المركز الوطني للتخصيص,مشروع تهيئة المقر الجديد لصالح أمانة اللجنة المالية - المرحلة الثانية,2023-03-13,2356874.4
المؤسسة العامة لتحلية المياه المالحة,إعادة تأهيل قاعات ومداخل الأكاديمية السعودية للمياه فرع المدينة المنورة,2023-06-12,3284267.0
الشئون الصحية بمنطقة مكة المكرمة,تطوير مستودع مركز السموم بالمختبر الإقليمي بحدا لعام 1444هـ ,2023-02-28,571032.5
وزارة السياحة,تأهيل وترميم مكتب معالي الوزير بمحافظة جدة,2023-03-02,693854.95
بلدية حجر,درء أخطار السيول للقرى التابعه لامانة جدة (بلدية حجر) (مرحلة ثالثة),2023-04-11,1289860.7
بلدية القوز(القنفذة),صيانة وتأهيل ممشى الخدمات المركزية (المرحلة الثانية ) ,2023-02-28,4191744.25
بلدية الذيبيه,صيانة لوحات التهنئة واللوحات الارشادية والترحيبية,2023-03-30,204171.0
بلدية الذيبيه,صيانة الأرصفة بالذيبية والقرى التابعة ,2023-03-13,560000.0
أمانة منطقة حائل,"تأمين محروقات للمعدات ووسائط النقل ""بنزين 91 وديزل""",2023-03-31,642873.92
