الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة  بالريال السعودي
إدارة التعليم بمنطقة جازان, ترميم  واجهات البلك المحزز بالمباني التعليمية لعدد 6 مدارس بنات بقطاع ابوعريش المجموعة (3),2023-02-28,2449362.0
إدارة التعليم بمنطقة جازان,ترميم  واجهات البلك المحزز بالمباني التعليمية لعدد 6 مدارس بنات بقطاع ابوعريش المجموعة (2),2023-02-28,2742198.0
جامعة الملك عبدالعزيز,تقديم خدمات التغذية بمستشفى جامعة الملك عبدالعزيز لمدة 3 سنوات,2022-09-20,56996928.0
أمانة منطقة الحدود الشمالية,مشروع تأمين سيارات بنظام التأجير لبلدية محافظة طريف,2022-08-01,2596815.0
إدارة التعليم بمنطقة جازان,ترميم  واجهات البلك المحزز بالمباني التعليمية لعدد 5 مدارس بنات بقطاع صامطة المجموعة (1),2023-02-28,1949997.5
إدارة التعليم بمنطقة جازان,ترميم  واجهات البلك المحزز بالمباني التعليمية لعدد 5 مدارس بنات بقطاع صامطة المجموعة (3),2023-02-28,2220362.5
أدارة الموارد الذاتية بصحة جدة,ترقية وصيانة نظام حفظ مستندات قسم الوفيات و مستندات موظفي مستشفى الملك فهد العام بجدة والمراكز الصحية التابعة,2022-10-21,489900.0
إدارة التعليم بمنطقة جازان,ترميم  واجهات البلك المحزز بالمباني التعليمية لعدد 5 مدارس بنات بقطاع صامطة المجموعة (2),2023-02-28,2245145.0
هيئة الزكاة والدخل,شراء المركبات – الوسائل الحية ,2022-10-19,7300000.0
هيئة المساحة الجيولوجية السعودية,طلب مكتب استشاري لتصميم وإعادة تأهيل وترميم هنجر الطائرات بقاعدة الملك عبدالله الجوية بجدة,2022-10-06,97750.0
صندوق التنمية الثقافي,مشروع انشاء وتصميم وتأسيس وتشغيل الخدمات السحابية المدارة والأنظمة الأمنية الخاصة,2022-09-04,1849648.56
المديرية العامة للشؤون الصحية بمنطقة جازان,تأمين معدات المغسله لمستشفى التخصصي بجازان,2022-09-13,4460858.72
الهيئة السعودية للبيانات والذكاء الاصطناعي,تشغيل مركز خدمات العملاء لمنظومة توكلنا TWK-OCSC,2022-09-28,15634246.55
بلدية العرضية الجنوبية,صيانة حديقة البلدية ,2022-09-16,497214.0
المركز الوطني للتعليم الالكتروني,تطوير وترقية البيئة الشبكية للمركز الوطني للتعليم الالكتروني,2022-11-07,998725.55
الهيئة العامة للمنشآت الصغيرة والمتوسطة,تشغيل نظام إدارة المشاريع,2022-08-28,251332.5
المركز الوطني للتعليم الالكتروني,تأمين رخص الأجهزة الطرفية,2022-09-04,1456798.44
وزارة الاستثمار,أعمال أمانة اللجنة الوطنية للحوافز ,2022-10-30,3386304.95
أمانة منطقة المدينة المنورة,تطوير وتأهيل مسارات الخدمات بأحياء ومخططات شوران(شمال)  بالمدينة المنورة,2022-09-25,21774387.5
أمانة منطقة الرياض,تأمين اسفلت لبلدية محافظة وادي الدواسر,2022-09-12,286023.4
امانة محافظة حفر الباطن,صيانه ممرات حجر المرو بحفرالباطن,2022-09-20,795800.0
أمانة منطقة عسير,إعادة تأهيل الطرق والشوارع الرئيسية - تطوير دوار المروج وجزيرة كوبري السجن بأبها,2022-10-26,827183.5
هيئة الزكاة والدخل,"توريد وتأمين ""80"" وسيلة حية للمركز الوطني للوسائل الحية ",2022-07-31,1286772.72
الهيئة العامة للترفيه,خدمات الانترنت لعام 2022م,2022-08-24,1202670.0
بلدية محافظة الخرمة,توريد حديد واعمال حدادة لبلدية محافظة الخرمة,2022-11-08,249797.25
إدارة التعليم بمنطقة نجران,صيانة طارئة مدرسة الثانوية الثامنة ,2022-10-19,182499.25
الشؤؤن الصحية بمحافظة القنفذة, استكمال أعمال تطوير وترميم قسم الطوارئ بمستشفى جنوب القنفذة العام,2022-11-14,2987004.01
أمانة منطقة عسير,صيانة الطرق - حمايات الجزيرة الوسطية لطريق الملك عبد العزيز وطريق مطار أبها,2022-11-16,1532720.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,توريد اثاث سكن الطلاب الداخلي بكلية ينبع الصناعية,2023-02-21,799595.0
إدارة التعليم بمحافظة الطائف,تامين احتياج إدارة التدريب والابتعاث بقطاع البنات لإقامة مجموعة من البرامج التدريبية لشاغلات الوظائف التعليمية بتعليم الطائف . ,2022-08-25,105120.93
المديرية العامة للشؤون الصحية بالمنطقة الباحة,استكمال إنشاء مركز طب الأسنان النموذجي بمنطقة الباحة ,2023-06-21,8386503.8
إدارة التعليم بمنطقة المدينة المنورة,تأمين اعاشة للنشاط الكشفي,2022-12-28,205562.5
صندوق التنمية العقارية,مشروع مركز التواصل مع المستفيدين المتعثرين عن السداد (المرحلة الثانية),2022-08-24,22846672.8
إدارة التعليم بمنطقة المدينة المنورة,تأمين مستلزمات للنشاط الكشفي,2023-03-30,109917.0
إدارة التعليم بالمنطقة الشرقية,تأمين طلبات الدروع والهدايا والمكافآت لإدارة الشؤون التعليمية بنين - بنات,2022-10-17,569699.65
أمانة المنطقة الشرقية,تشغيل و صيانة محطات و شبكات تصريف مياه الأمطار في مدينة الدمام (أ) للأعوام 2022 – 2024 م ,2022-12-12,19981940.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,صيانة مكائن التصوير والفاكسات ودواليب حفظ الملفات ,2023-01-19,440335.0
هيئة الزكاة والدخل,مجموعة محطة معالجة الصرف الصحي بحالة عمار,2023-02-12,6028825.55
إدارة التعليم بمنطقة الحدود الشمالية,صيانة طارئة لمدرسة الابتدائية التاسعة والعشرون بنات بعرعر,2022-10-05,65200.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع, توريد وتركيب مولد كهربائي  مع لوحة قواطع توزيع كهربائية في دار الضيافة ,2022-11-21,239200.0
مستشفى الملك خالد التخصصي للعيون,أتمتة غرفة الاجتماعات بأنظمة صوتية ومرئية وأنظمة تحكم وحلول تقنية متكاملة شاملة ,2022-11-15,1199898.5
مستشفى الملك فيصل التخصصي ومركز الابحاث-جدة,"توريد مياه تحلية صالحة للشرب إلى المجمعات السكنية بمستشفى الملك فيصل التخصصي ومركز الأبحاث ""مؤسسة عامة"" فرع جدة",2023-05-14,5957511.75
إدارة التعليم بمحافظة المهد,عملية صيانة وإصلاح وتشغيل أجهزة التبريد والتكييف والتدفئة بالمباني التعليمية بإدارة التعليم بمحافظة مهد الدهب,2022-11-18,1546290.0
بلدية محافظة خليص,صيانة المطل بمحافظة خليص,2022-09-04,91540.0
مدينة رأس الخير  الصناعية,تشغيل وصيانة مرافق وشبكات ونظام الري بمدينة رأس الخير,2023-02-16,20412752.13
مدينة رأس الخير  الصناعية,تجهيز وإنشاء مدارس في حي المطرفية – الجزء الخامس,2023-04-30,175741823.55
صندوق التنمية السياحي,تشغيل وصيانة ونظافة وضيافة مبنى مقر صندوق التنمية السياحي,2022-08-12,7999100.0
مدينة رأس الخير  الصناعية,تجهيز وإنشاء محطات وزن الشاحنات,2023-03-22,56689942.45
الهيئة الملكية للجبيل وينبع - الإدارة العامة بالجبيل,إنشاء جسر في دارين ,2023-03-22,98972938.5
أمانة منطقة الباحة,شراء سيارات لبلدية معشوقة,2022-10-20,409400.0
مدينة الملك سعود الطبية,مشروع تصميم واعداد وثائق الطرح لمشروع تصميم مبنى سلاسل الامداد والخدمات التابعه له,2022-10-21,569250.0
مدينة الملك سعود الطبية,مشروع اللوحات الإرشادية في الموقع العام لمدينة الملك سعود الطبية,2022-10-03,2978851.9
مدينة الملك سعود الطبية,مشروع مكاتب التصوير الطبي خلف الطب النووي,2022-08-28,300478.9
المؤسسة العامة لتحلية المياه المالحة, تركيب خوادم نظام الWIN-TS  المطابقة مع نسخة نظام ال  DCSلمنظومة الإنتاج براس الخير  ,2022-12-19,1799980.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بالجبيل,أحذية العمل الرسمية,2022-12-18,523250.0
صندوق تنمية الموارد البشرية,تشغيل وصيانة و نظافة و ضيافة مبنى الإدارة العامة  لصندوق تنمية الموارد البشرية ,2023-05-03,27240075.3
المؤسسة العامة لتحلية المياه المالحة,توريد وتركيب معدات التدريب على السلامة والإطفاء بالأكاديمية السعودية للمياه بالجبيل,2022-12-19,2437926.4
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,توريد أجهزة وادوات لمعامل كلية ينبع الصناعية,2022-12-11,1814618.47
أمانة منطقة الباحة,عملية صيانة حديقة كرا ومرافقها   ,2022-09-19,175450.0
أمانة منطقة حائل,معالجة التشوهات البصرية لأرصفة الحدائق وممرات المشاة بمدينة حائل,2022-09-01,3982450.0
جامعة الملك عبدالعزيز,مشروع تزويد خطوط الربط (IP-VPN) و مشروع تزويد خطوط الانترنت للجامعة لمدة 3 سنوات ميلادية ( اعادة طرح ) ,2022-11-16,26909999.88
مدينة الملك عبدالله الطبية بالعاصمة المقدسة,تقديم خدمات ورسوم اشتراك إعادة اعتماد اللجنة الدولية المشتركة    JCI Accreditation,2022-12-05,652625.0
جامعة نجران,مشروع تجديد رخص الجدار الناري الخارجي,2022-10-12,989000.0
هيئة تقويم التعليم والتدريب,توريد حبر وقطع استهلاكية للطابعات المستخدمة حاليا بالمطبعة بمبنى الهيئة لطباعة الاختبارات للعام 2022م,2022-09-07,437861.35
وزارة الموارد البشرية و التنمية الاجتماعية,عملية أعمال ترميم وإضافات بمبنى مكتب الضمان الاجتماعي بشرورة,2022-09-19,383001.75
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,مشروع تركيب وتأهيل محطات الكهرباء والنظام الكهربائي,2023-05-03,3538550.0
الهيئة العامة للترفيه,دعم وتطوير البوابة الداخلية المرحلة الثالثة وتطوير قناة تكامل,2022-08-24,3153200.0
أمانة منطقة جازان, بناء وتشغيل وحدة بلدي في أمانة منطقة جازان والبلديات التابعة لها,2022-12-04,4599303.2
الشئون الصحية بمنطقة نجران,منافسة برامج انقاذ الحياه والعناية الحرجه,2022-09-15,468855.0
الهيئة الملكية للجبيل وينبع - الرئاسة,تنظيم المعارض والندوات والمؤتمرات في الداخل والخارج,2022-11-03,2210688.7
وزارة البيئة والمياه والزراعة,إقامة مهرجان العسل وطرود ملكات النحل بمنطقة المدينة المنورة,2022-11-30,260360.0
إدارة التعليم بمحافظة الأحساء, توريد وتركيب ترابيع أسمنتية وبردورات للموقع العام بعدد من مدارس الاحساء ,2022-11-13,1939940.98
هيئة الزكاة والدخل,مشروع تأمين وتشغيل أنظمة البوابات والمرافق الذكية لمنفذ البطحاء,2023-02-15,62582352.45
المؤسسة العامة لتحلية المياه المالحة,تجديد خدمة النت لخدمة قسم الأجهزة والتحكم للحفاظ على سلامة التوربينات الغازية ,2022-11-02,247800.0
أمانة منطقة القصيم,مشروع إستكمال طريق الملك عبدالله ببريدة المرحلة الثانية ,2022-09-26,19285370.0
أدارة الموارد الذاتية بصحة جدة,دراسة وتقييم الوضع الراهن وتصميم واعداد المخططات وجداول الكميات والمواصفات لمنافسة تأمين متطلبات الأمن والسلامة والحماية من الحريق والدخان بمستشفى أضم العام ومستشفى رابغ العام,2023-02-06,80500.0
هيئة الصحة العامة,الخطوط الأرضية ,2023-03-15,688418.75
جامعة جدة, تأمين احتياجات ومستلزمات إدارة الأمن والسلامة بشطر الطالبات.,2022-10-17,73830.0
المركز الوطني لابحاث وتطوير الزراعة المستدامة,حراسات أمنية للمركز الوطني لأبحاث وتطوير الزراعة المستدامة.,2022-10-07,2042426.91
أمانة المنطقة الشرقية,مشروع تشغيل وصيانة محطات وشبكات تصريف مياه الأمطار في مدينة الدمام (ب) للأعوام 2022-2024م,2022-12-07,24910380.0
المؤسسة العامة للري,استئجار معدات وسيارات مع السائقين لنقل وترحيل المخلفات الزراعية من مجرى وادي الحمض بفرع المؤسسة بالمدينة المنورة,2022-08-21,2633498.85
مدينة الملك عبدالعزيز للعلوم والتقنية,توريد وتجديد اتفاقية الرخص والدعم الفني مع شركة مايكروسوفت,2022-09-19,2011991.24
مدينة الملك فهد الطبية,منافسة النقل للنفايات الطبية,2023-01-02,2049096.05
المؤسسة العامة لتحلية المياه المالحة,إعادة تأهيل وتطوير وحدات التكييف بالمحطات الطرفية لنظام نقل مياه راس الخير –الرياض.,2023-02-02,729926.5
بلدية محافظة الجموم,صيانة وربط طريق عين شمس المزدوج مع المفرد بمركز عين شمس بمحافظة الجموم,2022-12-09,1250050.0
المركز الوطني لتنمية الحياة الفطرية,توريد وتركيب أعمال الـتأثيث بالمكاتب الإدارية بمركز التميز بالطائف,2022-09-15,849341.7
أمانة منطقة الرياض,نظافة مبنى الأمانة القديم,2022-12-07,2087531.19
وزارة البيئة والمياه والزراعة,الاستئجار التشغيلي لمركبات أسواق النفع العام بمنطقة الرياض,2023-05-31,21520134.0
المؤسسة العامة لتحلية المياه المالحة,توريد كيابل كهربائية لمحطات التحلية بالجبيل المستقبل 60006776	,2022-10-12,193925.0
أمانة العاصمة المقدسة,تحويل مسارات مياه الأمطار والسيول القادمة من الشعاب عن الأحياء السكنية جنوب غرب مكة المكرمة ,2023-02-14,19507047.5
المؤسسة العامة لتحلية المياه المالحة,توريد كيابل كهربائية لمحطات التحلية بالجبيل المستقبل 60006775,2022-10-12,548250.0
أمانة منطقة تبوك,إيجار شيول ( بكت )  كبير لصيانة المرافق في بلدية بداء,2022-09-06,26105.0
أمانة منطقة تبوك,توريد زيوت ,2022-09-16,41917.5
بلدية الخبراء والسحابين,برنامج صيانة شبكات السيول بالخبراء ,2022-10-10,1549280.0
بلدية البرك,تأمين وتوريد أثاث لسكن العمال لبلدية محافظة البرك,2022-08-23,188600.0
أمانة منطقة تبوك,مشروع صيانة الطرق المراد نقلها من إدارة النقل والخدمات اللوجستية إلى بلدية القليبة ,2023-01-18,671494.2
وزارة الاستثمار,الاتصال المرئي السحابي,2022-08-23,950268.0
أمانة منطقة الرياض,مشروع تنفيذ برامج ومبادرات مجتمعية   2022م,2022-10-02,15536730.12
الهيئة العامة للمنشآت الصغيرة والمتوسطة,خارطة الطريق لتحفيز النمو و الاستثمار في القطاع الصناعي,2022-09-12,5707882.69
وزارة البيئة والمياه والزراعة,تجديد رخص برامج الدعم الفني للبنية التحتية بالإدارة العامة لتقنية المعلومات 2023,2022-09-06,4177950.0
الهيئة السعودية للملكية الفكرية,تشغيل خدمات دعم الإنفاذ وانشاء التقارير الفنية والتقارير الإحصائية لمخالفات الملكية الفكرية,2022-08-03,4290401.6
المديرية العامة للشؤون الصحية بمنطقة تبوك,نــقــل الــنــفــايـــات الـطــبــيــة للـمـنـشـآت الـصـحـيـة بـصـحـة تــبــوك,2022-12-20,6176039.95
بنك التنمية الاجتماعية,مشروع التأهيل والتدريب المختص لمنسوبي الشركاء في القطاع غير الربحي,2022-10-10,2612282.5
هيئة الهلال الأحمر السعودي,أعمال الصيانة والتشغيل والنظافة لمنطقة جازان (مباني فرع الهيئة بمنطقة جازان والمباني التابعة لها),2022-11-07,11147984.53
بلدية عسفان,صيانة الاعمال الخرسانية للعبارات الصندوقية بطريق الهجرة بمركز عسفان,2022-11-30,3096260.0
إدارة التعليم بمحافظة سراة عبيدة,فصول إضافية بمدرسة ثانوية الفارابي  ,2022-12-13,1402427.1
صندوق تنمية الموارد البشرية,الخدمات المدارة لتشغيل تقنية المعلومات ,2022-11-06,21507300.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,إعادة تأهيل المرافق التعليمية والأكاديمية بمدينة ينبع الصناعية,2023-04-10,3753537.9
بلدية أضم,صيانة أعمدة الإنارة بأضم,2022-10-26,3213962.5
أمانة العاصمة المقدسة,تحويل مسارات مياه الأمطار والسيول القادمة من الشعاب عن الأحياء السكنية شمال شرق مكة المكرمة ,2023-01-17,14345387.5
المركز الوطني لأدارة الدين,مشروع تنفيذ وتوريد وتجهيز وتأثيث مقر المركز الوطني لإدارة الدين بمركز الملك عبد الله المالي بمدينة الرياض,2022-10-31,20659188.0
جامعة الملك عبدالعزيز,عملية تشغيل ونظافة المستشفى الجامعي ومركز الخدمات الطبية بشطر الطلاب والطالبات ورابغ,2022-11-16,62996930.54
جامعة الحدود الشمالية,التخلص من النفايات الطبية و الأدوية و المواد الكيميائية بجامعة الحدود الشمالية و فروعها,2023-02-02,345000.0
أمانة منطقة الرياض,توريد وتركيب العاب أطفال لحدائق محافظة وادي الدواسر,2022-09-12,289915.0
أمانة منطقة الرياض,توريد بلدورات وانترلك وبلاط,2022-08-31,734275.0
وزارة الشئون البلدية والقروية والأسكان,الربط المحلي لمواقع الإسكان,2022-12-28,6398149.89
إدارة التعليم بمحافظة الطائف,نظافة المعاهد الخاصة التابعة لإدارة التعليم بمحافظة الطائف,2022-09-08,293280.0
إدارة التعليم بمحافظة الإفلاج,صيانة وإصرح وتشغيل الأعمال الكهربائية والميكانيكية لمصاعد بعض المباني التعليمية بمحافظة الافلاج,2023-03-05,417450.0
أمانة منطقة حائل,تحسين المنظور البصري لكورنيش الشبيلي بمدينة حائل,2022-08-15,3986820.0
التجمع الصحي بمكة المكرمة,منافسة تأمين الكساوي والملبوسات الخاصة بمستشفى النور التخصصي لعام 2022م,2022-10-14,479550.0
أمانة منطقة حائل,تطوير وتأهيل الدوارات بمدينة حائل,2022-08-30,3892198.0
وزارة الموارد البشرية و التنمية الاجتماعية,تقديم خدمات السفر والسياحة لمنسوبي وزارة الموارد البشرية والتنمية الاجتماعية,2023-01-11,105001.05
أمانة منطقة الرياض,توريد بردورات +انترلوك لبلدية الحلوة,2022-08-23,248118.25
أمانة منطقة الرياض,تأمين اثاث مكتبي لبلدية وادي الدواسر,2022-09-12,238224.8
أمانة محافظة جدة,توريد وتركيب شاشة عرض جدارية وملحقاتها (16949 ),2022-10-10,718500.45
إدارة التعليم بمنطقة الحدود الشمالية,صيانة طارئة لمدرسة ابتدائية الثامنة برفحاء,2022-08-16,79350.0
بلدية محافظة ظهران الجنوب,استئجار سيارات دفع رباعي ,2022-09-12,1752379.2
أمانة منطقة حائل,بشأن احتياج الأمانة لمشروع توريد وتركيب واحلال بلاط متداخل (انترلوك).,2022-09-25,4374600.0
إدارة التعليم بمنطقة القصيم,توريد أدوات ومعدات وأجهزة النظافة للمباني الإدارية والمدرسية التابعة للإدارة العامة للتعليم بمنطقة القصيم - المجموعة الثانية,2022-08-09,345000.0
إدارة التعليم بمحافظة الرس,تأهيل ثانوية ضريه بنات,2022-10-16,118105.0
إدارة التعليم بمحافظة الإفلاج,صيانة وإصلاح وتشغيل آلات التصوير للمباني الإدارة بإدارة التعليم بمحافظة الافلاج,2022-09-14,438150.0
صندوق التنمية العقارية, توفير خدمات استشارية في قياس حجم العمليات,2022-10-27,17250000.0
إدارة التعليم بمحافظة المهد,عملية صيانة وإصلاح وتشغيل المباني التعليمية (بنين ) بإدارة التعليم بمحافظة المهد,2022-12-06,2221110.0
إدارة التعليم بمحافظتي الحوطة و الحريق,ترميم و معالجة بعض المباني المدرسية ,2022-09-27,1046500.0
بلدية محافظة القطيف,مشروع استئجار السيارات لبلدية محافظة القطيف  للأعوام 2022-2027) (تشغيل وصيانة),2022-08-30,4974918.98
مستشفى الملك فيصل التخصصي ومركز الأبحاث,تقديم خدمات التشغيل إلدارة الصيدليات الخارجية لمستشفي الملك فيصل التخصصي و مركز األبحاث.,2022-12-14,374499.84
إدارة التعليم بمحافظة المخواة,توريد أثاث مكتبي للمدارس وفصول التربية الخاصة,2022-10-11,419171.0
هيئة رعاية الأشخاص ذوي الاعاقة,تطوير وتشغيل السجل الوطني للأشخاص ذوي الإعاقة -المرحلة الثانية-,2022-10-19,9929740.55
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,تأمين إشتراكات للمكتبات بالكليات والمعاهد,2022-11-14,300702.0
هيئة الهلال الأحمر السعودي,أعمال الصيانة والتشغيل والنظافة لمنطقة نجران (مباني فرع الهيئة بمنطقة نجران والمباني التابعة لها),2022-11-07,11368260.5
إدارة التعليم بمحافظة الرس,استحداث ملعب رياضي للابتدائية الثاثلة عشر والابتدائية الحادية والعشرون,2022-10-11,126155.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,توريد مستلزمات الحماية والزي الرسمي بكامل التجهيزات ,2022-11-20,404087.0
أدارة الموارد الذاتية بصحة جدة,تطوير نظام الجهد المتوسط لتعمل اوتوماتيكيا,2022-10-06,129950.0
بلدية محافظة عنيزة,صيانة اعمدة الاضاءة للطرق الرئيسية بمحافظة عنيزة,2023-01-12,14448998.87
إدارة التعليم بمحافظة الرس,تاهيل ثانوية دخنة بنين,2022-10-16,269477.5
وزارة الموارد البشرية و التنمية الاجتماعية,عملية استبدال مصاعد مبنى 15 بمجمع الوزارة بمخرج 9,2022-09-05,1040011.7
مستشفى الملك فيصل التخصصي ومركز الأبحاث,التخلص ونقل المصادر المشعة (المرحلة الثانية) إلى مناطق التخلص خارج المملكة أو إعادتها إلى شركاتها المصنعة مستشفى الملك فيصل التخصصي ومركز الأبحاث,2023-02-08,15950500.0
إدارة التعليم بمنطقة مكة المكرمة,تامين مستلزمات ادارة التربية الخاصة من الاثاث,2022-08-01,386170.0
جامعة القصيم,نظام إدارة تحويل حقوق منتسبي جامعة القصيم,2022-10-19,688275.0
بلدية محافظة القطيف,مشروع صيانة الحدائق والمزروعات والمسطحات الخضراء (الحدائق والشوارع) بمحافظة القطيف للأعوام 1444هـ -1447هـ,2023-01-12,36783955.2
أمانة المنطقة الشرقية,مشروع استكمال شبكات تصريف مياه الأمطار وتخفيض منسوب المياه السطحية بضاحية الملك فهد بالدمام المرحلة الخامسة لعام 2022م,2022-10-25,15497266.6
مستشفى الملك فيصل التخصصي ومركز الأبحاث,تطوير منطقة مبنى العمليات السريرية / الطبية القديم بمستشفى الملك فيصل التخصصي ومركز الأبحاث بالرياض,2022-11-02,1908854.64
بلدية المويه,توريد زيوت وشحوم لقسم الصيانة لبلدية محافظة المويه ,2022-08-04,136275.0
بلدية المويه,توريد مياه لسقيا الأشجار بواقع ( 16 ) رد يومياً وبالسيارة الخاصة بالمتعهد سعة 11 طن لمدة ( 365 ) يوم ,2022-09-07,508080.0
بلدية المويه,توريد مزايكوا و بلدورات لبلدية محافظة المويه ,2022-08-23,471500.0
وزارة الرياضة,توريد وتركيب المبردات المركزية chillers وملحقاتها لنظام التكييف المركزي بمكتب وزارة الرياضة بجدة,2022-12-30,1399895.0
أمانة منطقة حائل,توريد محروقات (بنزين وديزل) لبلدية محافظة الشنان ,2023-03-31,273424.0
أمانة منطقة المدينة المنورة,استكمال تنفيذ شبكات تصريف مياه الأمطار بالأحياء والمخططات (حي الحديقة) بالمدينة المنورة,2022-09-28,10955533.65
أمانة منطقة الرياض,رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلدية النسيم,2022-12-12,3023925.0
أمانة منطقة الرياض,رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلدية الشرق,2022-11-24,2317250.0
أمانة منطقة الرياض,رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلدية السلي,2022-11-29,2079200.0
أمانة منطقة الرياض, رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلدية الروضة الجزء الثالث,2022-11-24,3106150.0
أمانة منطقة الرياض, رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلدية الروضة الجزء الثاني,2022-12-08,3027950.0
أمانة منطقة الرياض,رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلدية الروضة الجزء الأول,2022-11-24,3245300.0
أمانة منطقة الرياض,رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلدية المعذر,2022-11-01,2418795.0
أمانة منطقة الرياض, رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلدية العليا,2022-11-01,3785512.5
أمانة منطقة الرياض,رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلدية الشمال الجزء الثالث,2022-12-12,4398750.0
أمانة منطقة الرياض,رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلدية الشمال الجزء الثاني,2022-11-01,3003225.0
أمانة منطقة الرياض,رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلدية الشمال الجزء الأول,2022-11-01,3099250.0
أمانة منطقة الرياض,رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلدية نمار,2022-11-01,3409750.0
أمانة منطقة الرياض, رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلدية عرقه,2022-11-29,3036575.0
أمانة منطقة الرياض,رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلدية العريجاء,2022-11-01,3553500.0
أمانة منطقة الرياض, رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلدية الملز,2022-11-01,3579662.5
أمانة منطقة الرياض,رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلدية الشميسي,2022-12-08,2486033.2
أمانة منطقة الرياض, رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلدية البطحاء,2022-12-08,3095800.0
أمانة منطقة الرياض,رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلديتي العزيزية والحائر,2022-11-16,3385312.5
أمانة منطقة الرياض,رفع مستوى السلامة المرورية بمدينة الرياض نطاق بلدية الشفا,2022-11-01,3537687.5
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,صيانة أجهزة ومعدات المطبعة,2022-11-14,499937.0
الهيئة العامة لعقارات الدولة,تقديم الدعم الفني للحلول العقارية المؤسسية الحالية.,2022-09-14,2100031.23
بلدية محافظة يدمة,سفلتة وأرصفة وإنارة للأمانة والبلديات والقرى التابعة (معالجة عناصر التشوه البصري في بلدية محافظة يدمه),2023-03-14,1213468.5
المركز الوطني للتنافسية,تصميم وتوريد مطبوعات ولوازم ورقية وقرطاسية للمركز الوطني للتنافسية,2022-08-31,499301.25
وزارة البيئة والمياه والزراعة,الإستئجار التشغيلي لمركبات الوزارة بالمنطقة الشرقية,2023-05-31,21520134.0
جامعة حفر الباطن, منافسة تأمين سيارات بنظام التأجير لإدارة الحركة بجامعة حفر الباطن,2022-09-29,1321488.0
أمانة منطقة المدينة المنورة,أعمال القطع الصخري  بالمدينة المنورة,2022-10-03,20635398.75
بلدية المويه,توريد حاويات نظافة حديد لبلدية محافظة المويه ,2022-08-04,475525.0
أمانة منطقة المدينة المنورة,مشروع تطوير وتأهيل طرق وشوارع مخطط مستودعات الورش الجديد بالمدينة المنورة,2022-09-27,7554856.0
المركز الوطني لتنمية الحياة الفطرية,توريد وتركيب أجهزة وأدوات إكثار طائر الحباري بمركز الأمير سعود الفيصل لأبحاث الحياة الفطرية ,2022-10-19,4393499.68
هيئة تقويم التعليم والتدريب,تشغيل  وصيانة ونظافة مباني هيئة تقويم التعليم والتدريب الإدارية ومقرات المحوسبة في مدينة الرياض,2022-10-12,13096020.0
أمانة منطقة الرياض,توريد اعمدة إنارة مضلع مجلفن ارتفاع 8 متر,2023-02-01,1006250.0
جامعة جدة, أعمال تشغيل وصيانة ونظافة المقر الرئيسي بشطر الطالبات بالفيصلية 						,2022-08-11,9168375.04
المديرية العامة للشؤون الصحية بمنطقة جازان,تأمين وتركيب معدات المطبخ بالمستشفى التخصصي بجازان,2022-10-16,4625812.9
بنك التنمية الاجتماعية,تجسير الأسر المنتجة للتحول إلى منشآت أعمال مستدامة,2022-09-12,11138589.5
وزارة البيئة والمياه والزراعة,دراسة استشارية لتطوير نظام وطني لإصدار شهادات توسيم المنتجات السمكية للمصائد,2023-01-10,1813793.8
الجامعة السعودية الالكترونية, تقديم خدمات الدعم الفني والصيانة لنظام إدارة ومتابعة البحث العلمي (RTMS),2022-11-01,134991.95
جامعة جدة,بشأن المشروع التطويري لتوفير طابعة مركزية لعمادة مصادر المعرفة بجامعة جدة ,2023-02-09,449707.5
الهيئة العامة للنقل,إعداد دراسة اكتوارية نتيجة انتقال منسوبي الهيئة العامة للنقل,2022-10-18,199999.95
