الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة
المؤسسة العامة لتحلية المياه المالحة,تقديم الخدمات الاستشارية لتفعيل صندوق الموازنة بالمؤسسة  ,2022-03-18,4826912.25
المؤسسة العامة لتحلية المياه المالحة,توريد قطغ غيار ميكانيكية لخط أنابيب الشقيق ابها 60004500,2022-07-14,148360.08
وزارة الطاقة, الدعم الفني والصيانة لأنظمة الربط والتكامل,2022-03-30,3446550.0
صندوق تنمية الموارد البشرية,النظام الآلي لإدارة المشاريع,2022-05-24,1556840.1
أمانة منطقة تبوك,توريد زهور وبتونج ومراكن لقسم الزراعة في بلدية محافظة ضباء ,2022-07-01,213106.5
أمانة منطقة الباحة,توريد مياه عذبة صالحة للاستخدام,2022-03-20,258750.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث,استبدال وحدات التكييف وتوسعة مسارات كابلات الشبكة لمركز بيانات التعافي من الكوارث,2022-12-09,2748730.0
الهيئة العامة للغذاء والدواء,فيديوهات رسوم متحركة ثلاثية الأبعاد (3d Motion Graphic Videos),2022-04-26,110400.0
بلدية محافظة بيشة,صيانه اعمده اضاءة (توريد كيابل ),2023-04-14,404800.0
بلدية محافظة بيشة,تخطيط الشوراع (دهانات مرورية),2022-04-19,330625.0
أمانة العاصمة المقدسة,مشروع تشغيل وصيانة أنظمة الأمن السيبراني,2022-07-17,16976611.5
إدارة التعليم بمحافظة حفر الباطن,صيانة وإصلاح وتشغيل آلات التصوير والطابعات وأجهزة الفاكس بالمدارس داخل المحافظة (المجموعة الأولى),2022-03-21,2999430.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث,توريد وتركيب نظام إستدعاء الممرضات لعيادة الأطفال في مستشفى الملك فيصل التخصصي ومركز الأبحاث في الرياض,2022-03-29,158362.25
إدارة التعليم بمحافظة بيشة,صيانة وإصلاح وتشغيل أجهزة التبريد والتكييف والتدفئة في المباني التعليمية التابعة لإدارة التعليم بمحافظة بيشه,2022-12-27,14910900.0
المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,مشروع تشجير متنزه الاني البري بوادي حلي بمحافظة القنفذة (المرحلة الأولى).,2022-04-25,6486000.0
أمانة محافظة جدة,استكمال صيانة الواجهة البحرية (الكورنيش الأوسط) وممشى شارع فلسطين - 16876,2022-05-01,44818615.8
هيئة الزكاة والدخل,خدمات تصوير وتغطيات ,2022-06-24,1909000.0
الهيئة العامة للإحصاء, طلب مزود خدمة الرسائل النصية SMS ورسائلOTP لبرنامج تعداد السعودية 2022,2022-04-14,5589000.0
بلدية محافظة بيشة,صيانه الشوراع (معالجه حفر الشوراع ),2022-04-19,494500.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار ميكانيكة لمنظومة إنتاج راس الخير 60002893 Mech RAK,2022-02-16,327200.0
أمانة محافظة الأحساء,توريد وتركيب أعمدة انارة لحاضرة الأحساء للأحياء مكتملة الخدمات 2022 م,2022-05-11,12706925.0
بلدية محافظة بيشة,صيانه الشوراع ( مدخل المروة),2022-04-19,1360278.0
أمانة منطقة تبوك,توريد انترلوك وبردورات زراعية وخرسانية,2022-09-13,87100.0
أمانة منطقة الرياض,تأمين وتوريد ديزل لبلدية محافظة الزلفي,2022-02-23,300000.0
أمانة منطقة الرياض,تأمين وتوريد بنزين 91 لبلدية محافظة الزلفي,2022-02-23,378683.44
أمانة منطقة تبوك,توريد وتركيب حواجز معدنية (جارديل) /بلدية محافظة حقل,2022-02-11,175950.0
بلدية محافظة رابغ, صيانة وتحسين وتطوير أحياء المحور الشمالي الشرقي لمحافظة رابغ ,2022-04-29,1531406.7
الهيئة السعودية للبيانات والذكاء الاصطناعي,مشروع تطوير وتحسين مركز بيانات ركيزة RDUI,2022-06-21,22478418.65
هيئة الزكاة والدخل,الخدمات المدارة للبنية التحتية والتطبيقات لتقنية المعلومات,2022-06-22,88524528.87
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار ميكانيكة لانظمة نقل مياه رأس الخير  60004457 Mech RKP,2022-02-17,959241.84
هيئة الإذاعة والتلفزيون,صيانة ونظافة محطة ارسال ابها الاذاعية ,2022-02-24,599044.8
بلدية جوف بني هاجر,صيانة المنطقة المركزية بيكرب طريق الملك عبدالعزيز لبلدية جوف بني هاجر,2022-03-03,972693.0
المديرية العامة للشؤون الصحية بمنطقة عسير,عملية تأمين نظام رش مائي لمستشفى سراة عبيدة العام,2022-12-25,2057350.0
المديرية العامة للشؤون الصحية بمنطقة عسير,عملية تأمين كاميرات مراقبة  أمنية لمركز التأهيل الطبي الجديد بأبها,2022-08-02,443500.0
أمانة منطقة الباحة,عملية توريد اطارات السيارات ,2022-03-23,93221.3
هيئة المساحة الجيولوجية السعودية,التشغيل والصيانة ورعاية المزروعات ومكافحة الآفات لمرافق هيئة المساحة الجيولوجية السعودية,2022-09-16,20658172.47
مؤسسة البريد السعودي,مشروع ارشفة الوثائق التاريخية ,2022-07-01,2398900.0
أمانة منطقة الباحة,عملية توريد إطارات  المعدات الثقيلة  ,2022-03-23,285159.75
هيئة الهلال الأحمر السعودي,صيانة مركبات الهيئة ,2022-04-06,13686840.0
بلدية محافظة القطيف,برنامج صيانة وتشغيل الحاسب الالي ببلدية محافظة القطيف,2022-05-25,11005811.2
هيئة المحتوى المحلي والمشتريات الحكومية,إدارة حسابات الهيئة في مواقع التواصل الاجتماعي,2022-03-06,1999832.75
الهيئة العامة للترفيه,تجديد وزيادة رخص ودعم البنية التحتية لتقنية المعلومات لعام 2022م.,2022-03-03,1452652.4
المديرية العامة للشؤون الصحية بمنطقة جازان,منافسة عملية التجهيز والتأثيث الغير طبي لتشغيل المرحله الأولى ( 100 سرير ) لزوم مستشفى الدرب العام الجديد,2022-04-14,2748956.55
المؤسسة العامة لتحلية المياه المالحة,توريد مولد كهربائي لمحطات المستقبل في الشعيبة 60004471,2022-04-06,399000.0
الشئون الصحية بمنطقة مكة المكرمة,الصيانة والنظافة والتشغيل غير الطبي لمستشفى شرق عرفات بالمشاعر المقدسة بمكة المكرمة لعام 1443هـ,2022-11-01,13253394.0
هيئة الزكاة والدخل,التسويق الرقمي	,2022-03-24,4000000.0
الجامعة الإسلامية بالمدينة المنورة,تنفيذ مواقف مظللة للسيارات جنوب المركز الطبي الجامعي,2022-03-31,95818.0
هيئة الهلال الأحمر السعودي,أعمال الصيانة والتشغيل والنظافة  (فرع هيئة الهلال الأحمر السعودي بمنطقة تبوك والمباني والمراكز التابعة لها  ,2022-04-06,18961454.7
أمانة منطقة الباحة,عملية تامين وتوريد زيوت وبطاريات ,2022-03-23,276096.6
أمانة العاصمة المقدسة,تشغيل وصيانة التشجير للشوارع والحدائق شمال مكة المكرمة,2022-06-13,13282488.5
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,توريد قطع غيار سيارات ميتسوبيشي لإدارة النقل والمعدات,2022-04-12,125337.81
هيئة الهلال الأحمر السعودي,أعمال الصيانة والتشغيل والنظافة للمنطقة الشرقية - مباني فرع الهيئة بالمنطقة الشرقية والمباني التابعة لها,2022-11-17,32587618.3
مستشفى الملك فيصل التخصصي ومركز الأبحاث,توريد وتركيب مضخة شفط لقسم العلاج الإشعاعي بمستشفى الملك فيصل التخصصي ومركز الأبحاث بالرياض,2022-07-17,155250.0
أمانة منطقة الرياض,تأمين وتوريد أدوات وقطع غيار كهرباء لبلدية محافظة الزلفي,2022-03-08,991587.5
جامعة المجمعة,مشروع اضافات البنية التحتية لمبنى كلية العلوم بالزلفي بجامعة المجمعة,2022-03-02,1237541.93
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع, توريد مواد صيانة إستهلاكية للأعمال المدنية والكهربائية,2022-06-09,193942.33
إدارة التعليم بمحافظة الزلفي,عملية توريد وتركيب لوحات مسميات المدارس بحافظة الزلفي,2022-08-08,211922.0
إدارة التعليم بمنطقة عسير,صيانة الاعمال الزراعية لمباني التربيةالخاصة بنين - بنات ,2022-03-13,2295216.0
أمانة منطقة الرياض,تأمين وتوريد أكياس نفايات وبراميل وحاويات لبلدية محافظة الزلفي,2022-02-23,518673.0
وزارة الموارد البشرية و التنمية الاجتماعية,عملية تطوير منطقة المستودعات بمقر الوزارة بحي المغرزات,2022-04-28,3498455.25
أمانة منطقة الرياض,تأمين وتوريد ربل سحب وفرش لآلات النظافة لبلدية محافظة الزلفي,2022-02-23,279450.0
المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,تشغيل وصيانة ونظافة المتنـزهات الوطنية بمنطقة القصيم,2022-04-10,12722365.0
وزارة النقل والخدمات اللوجستية-  الديوان العام,مشروع صيانة أداء طرق وادي الدواسر - الأفلاج - السليل عقد رقم  (101),2022-09-19,44900370.0
المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,ترميم وتأهيل متنزهات عسير الوطنية )دلغان – المسقي– الجرة – الهضبة( بمحافظة أبها بمنطقة عسير,2022-03-22,24865150.5
المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,مشروع استكمال ترميم وتأهيل منتزه السودة الوطني ومنتزه الامير سلطان بمنطقة عسير,2022-04-14,24863294.4
أمانة منطقة المدينة المنورة,توريد مختبر أغذية متنقل لأمانة منطقة المدينة المنورة,2022-05-09,992018.75
هيئة الزكاة والدخل,بطاقات الموظفين ,2022-04-01,1995250.0
هيئة الهلال الأحمر السعودي,أعمال الصيانة والتشغيل والنظافة  (فرع هيئة الهلال الأحمر السعودي بمنطقة عسير والمباني والمراكز التابعة لها  ,2022-04-26,21974789.1
جامعة تبوك,توريد قطع غيار لصيانة أنظمة التكييف والمصاعد الكهربائية وأعمال الكهرباء لمباني ومنشآت جامعة تبوك,2022-04-21,2354124.95
جامعة الأمير سطام بن عبدالعزيز,توفير دوائر رقمية بالجامعة,2022-03-29,13942857.6
هيئة الهلال الأحمر السعودي,أعمال الصيانة والتشغيل والنظافة  (فرع هيئة الهلال الأحمر السعودي بمنطقة الجوف والمباني والمراكز التابعة لها  ,2022-04-26,15070000.0
مؤسسة البريد السعودي,مزايدة للاستفادة من المساحات داخل المبنى لاستئجارها لعدد من الخدمات  ,2022-10-10,95805.0
هيئة الإذاعة والتلفزيون,تأمين زيوت المولدات بمحطة ارسال راس الخير الاذاعية ,2022-02-24,275758.5
أدارة الموارد الذاتية بصحة جدة,تاثيث مناطق الاستقبال والانتظار للمراجعين والمستخدمين بمستشفى شرق جدة,2022-06-20,547722.0
المديرية العامة للشؤون الصحية بمنطقة عسير,مشروع توريد وتركيب مضخة إطفاء الحريق لمبنى التأهيل الطبي بمستشفى عسير المركزي,2022-04-13,1747942.5
المركز السعودي للأعتماد,إدارة وتنفيذ فعاليات المركز السعودي للاعتماد,2022-04-17,1479084.0
المديرية العامة للشؤون الصحية بمنطقة عسير,مشروع تطوير مبنى الطوارئ والتنويم والموارد البشرية بمركز الأمير فيصل بن خالد لطب وجراحة القلب,2022-05-10,2942217.5
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار كهربائية لمنظومة إنتاج الجبيل 60004403 JPL ELE,2022-05-27,462311.0
صندوق التنمية الزراعية,إعادة تجديد اتفاقية الدعم الفني الرائدة لمايكروسوفت                                            (Renewal Microsoft Unified Support),2022-03-16,766511.8
بلدية محافظة البدائع,تأمين مركبات ومعدات البلدية ضد الغير بلدية محافظة البدائع ,2022-04-13,90447.5
وزارة النقل والخدمات اللوجستية-  الديوان العام,الأعمال المتبقية لمشروع إستكمالات بعض الطرق بمنطقة مكة المكرمة (المجموعة السادسة والعشرون),2022-10-31,54511466.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,توريد مواد المشتل,2022-04-12,345000.0
هيئة الهلال الأحمر السعودي,أعمال الصيانة والتشغيل والنظافة - مبنى فرع الهيئة بمنطقة مكة المكرمة - العاصمة المقدسة- والمباني والمراكز الإسعافية التابعة لها,2022-04-06,18484867.49
بلدية عين دار,صيانة توريد وتركيب أعمدة إنارة بمركز عين دار والمراكز التابعة لها,2022-08-25,889065.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,توريد بذور الحوليات الشتوية و الصيفية لمشتل الهيئة الملكية,2022-06-09,689998.85
المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,تشغيل وصيانة ونظافة  المتنـزهات الوطنية بمنطقة المدينة المنورة ,2022-04-10,17228518.01
وزارة الرياضة,صيانة ونظافة وتشغيل الصالة الرياضية بالمدينة المنورة ,2022-06-22,4917200.0
وزارة الموارد البشرية و التنمية الاجتماعية,تجديد الحسابات الإلكترونية للأبحاث والإرشادات التقنية,2022-02-20,2499755.0
أمانة محافظة جدة,سفلتة وارصفة وانارة شوارع وطرق احياء شمال جدة - 16871 ,2022-09-07,52729282.5
وزارة الاقتصاد والتخطيط  -  الديوان العام,تجهيز جناح الوزارة لمعرض التوظيف السنوي العاشر بجامعة الفيصل,2022-01-19,198375.0
وزارة الموارد البشرية و التنمية الاجتماعية,تعزيز و تجديد محفظة مكافآت الثغرات لوزارة الموارد البشرية و التنمية الاجتماعية,2022-02-10,672748.85
المديرية العامة للشؤون الصحية بمنطقة عسير,مشروع إحلال وتطوير دورات المياه بمستشفى خميس مشيط العام,2022-04-13,495075.0
أمانة منطقة تبوك,توريد وتركيب كامرات ,2022-02-09,36000.75
المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,تشغيل وصيانة ونظافة متنـزه وادي لجب بمحافظة الريث بمنطقة جازان,2022-09-20,734160.0
هيئة الهلال الأحمر السعودي,أعمال الصيانة والتشغيل والنظافة  (فرع هيئة الهلال الأحمر السعودي بمنطقة الباحة والمباني والمراكز التابعة لها  ,2022-04-26,12219854.6
أمانة العاصمة المقدسة,صيانة معابر المشاة بمكة المكرمة والمشاعر المقدسة,2022-04-04,2293675.0
هيئة الهلال الأحمر السعودي,أعمال الصيانة والتشغيل والنظافة  (فرع هيئة الهلال الأحمر السعودي بمنطقة الحدود الشمالية والمباني والمراكز التابعة لها ),2022-04-26,14283489.8
المركز الوطني لنظم الموارد الحكومية,مشروع صيانة الأنظمة المالية والإدارية,2022-04-07,2333333.36
المؤسسة العامة لتحلية المياه المالحة,توريد مولد كهربائي لمحطات ينبع 60004369,2022-02-16,490000.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث," توريد وتركيب كاميرات رقميه للمراقبة والتوثيق بمستشفى الملك فيصل التخصصي ومركز الابحاث بالرياض -  ""مؤسسة عامة"" ",2023-02-02,32596454.0
المؤسسة العامة لتحلية المياه المالحة,توسعة الطريق الرئيسي لوحدة إنتاج القنفذة ,2022-04-21,797622.75
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار كهربائية لمحطات ينبع 60004370,2022-02-24,248167.6
وزارة الرياضة,استبدال أرضية ملعب الرديف بالعشب الطبيعي لنادي الباطن الرياضي بحفر الباطن,2022-05-31,3563269.25
جامعة المجمعة,الدعم الفني لنظام إدارة تحويل الحقوق المالية لموظفي الجامعة ( البوابة الموحدة للحقوق الماليةلموظفي الدولة),2022-01-31,734994.9
أمانة منطقة تبوك,توريد عربة نظافة متحركة مصنعه مادة pp,2022-02-28,259152.5
المؤسسة العامة للتدريب التقني والمهني, تصميم وتنفيذ وتوريد نظام الكتروني متكامل لاعمال الصيانة والتشغيل ,2022-08-11,402500.0
المركز الوطني لأبحاث وتطوير الزراعة المستدامة,تشغيل ونظافة للمركز الوطني لأبحاث وتطوير الزراعة المستدامة,2022-05-12,3547083.0
جامعة نجران,تأمين طلبية الوثائق والسجلات الاكاديمية لعمادة القبول والتسجيل ,2022-04-02,263925.0
اعانة المكتبات الوقفية,صيانة وتشغيل الحاسب الآلي بمجمع الملك عبدالعزيز للمكتبات الوقفية,2022-03-27,860416.0
أمانة محافظة الأحساء,توريد وتركيب أعمال إنارة لحاضرة الأحساء والقرى التابعه لها,2022-04-25,1695146.0
المديرية العامة للشؤون الصحية بالمنطقة الشرقية,  مشروع تحديث وتطوير أجهزة محطات العمل الخاصة بنظام التصوير الطبي,2022-04-20,1459252.25
المديرية العامة للشؤون الصحية بالمنطقة الشرقية,خدمات الاعاشة للمستشفيات ( الجبيل العام - العيون التخصصي بالظهران - الرعاية المديدة بالظهران - بقيق العام -الامير سلطان بعريعرة - مجمع ارادة للصحة النفسية بالدمام ),2023-04-28,112651596.5
أمانة محافظة الأحساء,توريد وتركيب كابلات كهربائية بحاضرة الاحساء,2022-04-25,306360.0
بلدية محافظة الرس,توريد لوحات أسماء شوارع وميادين صندوقية وجدارية - بلدية الرس,2022-02-14,298551.5
جامعة القصيم,منافسة تأمين وسائل الإيضاح والوسائل التعليمية ورق كراسات إجابة للكليات العلمية والتطبيقية والطبية,2022-03-05,4986802.5
الهيئة الملكية للجبيل وينبع - الإدارة العامة بالجبيل,توريد أنظمة الطاقة الغير منقطعة للأنظمة الأمنية والخوادم,2022-08-10,2791776.89
صندوق التنمية الزراعية,تقديم خدمات تطوير الانظمة والتطبيقات والبنية التحتية لقطاع تقنية المعلومات والامن السيبراني.,2022-07-07,71985850.8
مدينة الملك فهد الطبية,منافسة مشروع الدعم الفني لنظام ارشفة الصور الطبية ((PACS),2022-06-23,8992963.66
هيئة الزكاة والدخل,مشروع تجديد إشتراك نظام معاك (افيلو),2022-06-10,3864000.0
صندوق تنمية الموارد البشرية,الارشاد المهني في الجامعات,2022-05-15,22656592.75
وزارة الرياضة,صيانة ونظافة وتشغيل مدينة الأمير عبدالعزيز بن جلوي بحائل ,2022-06-22,21440784.0
أمانة العاصمة المقدسة,تشغيل وصيانة التجهيزات الإلكتروميكانيكية لأنفاق الخدمات المحيطة بالمسجد الحرام,2022-04-04,5945500.0
بلدية أضم,صيانة أرصفة بأضم,2022-04-05,1741100.0
أمانة منطقة المدينة المنورة,إستكمال تنفيذ عبارة صندوقية بفرع شعيب مخيط بالمدينة المنورة,2022-04-07,2114654.5
جامعة الملك خالد,تسكين ضيوف الجامعة وتوفير مقرات لإحتفالات الجامعة ,2022-04-07,1500000.0
أمانة محافظة جدة,تحديث وثائق المخطط المحلي وتطوير أعمال الأتمتة-16821,2022-04-18,3434314.0
المركز الوطني لأبحاث وتطوير الزراعة المستدامة,توريد كبائن خوادم وبطاريات احتياطية وتوصيلات كهربائية للمركز الوطني لأبحاث وتطوير الزراعة المستدامة,2022-05-19,206310.0
بلدية محافظة رابغ, صيانة وتحسين وتطوير أحياء المحور الجنوبي الشرقي لمحافظة رابغ ,2022-04-29,1899225.0
أمانة العاصمة المقدسة,صيانة وإصلاح العيوب الطرقية بمكة المكرمة  والمشاعر المقدسة,2022-06-16,9976250.0
ميناء الجبيل التجاري,منافسة استبدال محابس وعدادات المياه الخاصة بالأرصفة البحرية بميناء الجبيل التجاري ,2022-05-11,977500.0
وزارة الاتصالات وتقنية المعلومات  -  الديوان العام,برامج تدريبية داخلية لموظفي هيئة الحكومة الرقمية ,2022-10-27,625255.0
الجامعة السعودية الالكترونية, تقديم خدمات الدعم الفني والصيانة لنظام إدارة الموارد المؤسسية,2022-03-29,665850.0
صندوق التنمية الزراعية,مشروع توصيل المركز الرئيسي بخدمة الانترنت,2022-03-13,1894546.8
وزارة المالية  -  الديوان العام,أعمال النظافة والصيانة والتشغيل لمبنى وزارة المالية (B2) في  واحة غرناطة بالرياض,2022-03-21,4994910.0
أمانة منطقة الرياض,صيانة وتشغيل الأعمال الكهروميكانيكية والمعمارية ونظافة المرافق التابعة للأمانة بالمركز الإداري بالسلي ومرافق بلدية السلي,2022-08-21,11159614.95
بلدية عين دار,صيانة توريد دهانات بلاستيكية عاكسة حرارية للأرصفة والمطبات بمركز عين دار والمراكز التابعة لها,2022-03-31,282037.5
أمانة منطقة حائل,استئجار سيارات متنوعة بدون سائق وبدون وقود,2022-02-22,1910030.4
الهيئة العامة للطيران المدني,توفير وتشغيل خدمة نظام الاتصال الموحد للعناية بعملاء الهيئة العامة للطيران المدني,2022-03-02,4598401.5
وزارة البيئة والمياه والزراعة,ترميم مبنى سكن المتدربين بمركز التدريب الزراعي بالقصيم,2022-03-09,520473.9
وزارة البيئة والمياه والزراعة,إعادة تأهيل البوابة الرئيسية بمبنى ديوان الوزارة الجديد - مخرج 12,2022-03-23,2008705.0
المؤسسة العامة لتحلية المياه المالحة,"توريد ACTUATOR,ELECTRIC,VALVE لمنظومة انتاج الشعيبة 60004374 ELE SHO",2022-05-08,257800.0
هيئة الهلال الأحمر السعودي,أعمال الصيانة والتشغيل والنظافة - فرع هيئة الهلال الأحمر السعودي بمنطقة حائل والمباني والمراكز التابعة له,2022-04-06,14297570.4
هيئة الهلال الأحمر السعودي,أعمال الصيانة والتشغيل والنظافة  (فرع هيئة الهلال الأحمر السعودي بمنطقة القصيم والمباني والمراكز التابعة لهم,2022-04-26,19173409.8
المؤسسة العامة لتحلية المياه المالحة, توريد وتركيب مظلات لمواقف السيارات التابعة للمؤسسة بالمركز الرئيسي,2022-03-01,926624.0
المؤسسة العامة للري,استبدال الاسقف الخرسانية لغرف الربط والنظافة والتفتيش للمصرف الرئيسي (D1) بالاحساء,2022-02-16,1382875.0
الهيئة العامة للغذاء والدواء,مشروع الدعم الفني وصيانة لنظام النسخ الاحتياطي,2022-02-28,889996.5
أمانة منطقة عسير,صيانة المباني والمرافق والمنشآت (صيانة وكالة الاستثمار بمبنى الأمانة),2022-04-12,1558848.0
أمانة المنطقة الشرقية,مشروع تشغيل برنامج التحول الرقمي للعمل البلدي بأمانة المنطقة الشرقية,2022-06-27,11490800.0
هيئة كفاءة الإنفاق والمشروعات الحكومية,تقديم خدمات الحراسات الأمنية لمقرات هيئة كفاءة الإنفاق والمشروعات الحكومية,2022-03-22,1600000.0
أمانة منطقة تبوك,توريداحتياج صحة البيئة,2022-02-09,44850.09
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار كهربائية لمحطات المستقبل 5K ,2022-05-24,1245000.0
إدارة التعليم بمحافظة رجال ألمع,صيانة واصلاح وتشغيل أجهزة التبريد والتدفئة في المباني التعليمية (بنات)بإدارة التعليم بمحافظة رجال المع,2022-09-14,932724.0
جامعة تبوك,توريد وتركيب فرش وتأثيث كلية الصيدلة بجامعة تبوك,2022-11-02,6908933.2
جامعة الملك سعود,منافسة برامج التدريب لمنسوبي المدينة الطبية الجامعية,2022-09-14,1076687.5
إدارة التعليم بمحافظة رجال ألمع,صيانة واصلاح وتشغيل اجهزة التبريد والتكييف والتدفئة في المباني التعليمية بنين بتعليم رجال ألمع,2022-09-14,932724.0
