Name,Description,Date,Amount
وزارة الشؤون البلدية والقروية,صيانة الشوارع والأرصفة والإنارة ( صيانة الإنارة ) ,2023-12-06,2505735.0
وزارة الشؤون البلدية والقروية,تأمين وتوريد أدوات كشافات ليد وكيابل كهرباء لبلدية محافظة الزلفي,2023-10-26,276000.0
وزارة الشؤون البلدية والقروية,تأمين وتوريد أدوات كشافات ليد وكيابل كهرباء لبلدية محافظة الزلفي,2023-10-26,276000.0
وزارة الصحة,تأمين أحبار لتجمع الإحساء الصحي,2024-01-24,143520.0
وزارة الشؤون البلدية والقروية,عملية تاهيل وتطوير ممرات عبور المشاة بمحافظة رفحاء ,2023-11-08,688137.0
وزارة الشؤون البلدية والقروية,استئجار سيارات لزوم الرقابة الميدانية لبلدية القوز ,2023-11-24,257759.71
وزارة الاستثمار,الحراسات الأمنية في مباني الوزارة الجديدة,2024-02-14,7426283.7
وزارة المالية,"مشروع مركز التواصل والمعرفة المالية ""متمم"" ",2023-12-25,5888000.0
وزارة المالية,"مشروع مركز التواصل والمعرفة المالية ""متمم"" ",2023-12-25,5888000.0
البيئة والمياه والزراعة,توريد طابعات واحبار وتغليف بطاقات مخصصة لأصدار بطاقة العاملين في جميع مواقع التحلية ,2024-01-22,697567.0
البيئة والمياه والزراعة,توريد طابعات واحبار وتغليف بطاقات مخصصة لأصدار بطاقة العاملين في جميع مواقع التحلية ,2024-01-22,697567.0
وزارة الشؤون البلدية والقروية,توريد مواد لصحة البيئة,2023-11-04,49956.0
وزارة الشؤون البلدية والقروية,توريد نجيلة صناعية,2023-11-03,89068.5
وزارة الشؤون البلدية والقروية,توريد كفرات للسيارات والمعدات ,2023-11-03,82394.05
وزارة الشؤون البلدية والقروية,توريت زيوت وقطع غيار سيارات ومعدات ,2023-11-03,32249.45
وزارة التعليم,تأمين أجهزة حاسب آلي لمعامل كلية الدراسات التطبيقية وخدمة المجتمع,2023-12-25,3235935.56
وزارة التعليم,تأمين أجهزة حاسب آلي لمعامل كلية الدراسات التطبيقية وخدمة المجتمع,2023-12-25,3235935.56
وزارة التعليم,تأمين أجهزة حاسب آلي لمعامل كلية الدراسات التطبيقية وخدمة المجتمع,2023-12-25,3235935.56
وزارة الصحة,تحرير ونشر وتوزيع كتاب علمي باللغة الإنجليزية في طب العيون,2024-01-14,500000.0
وزارة الصحة,تحرير ونشر وتوزيع كتاب علمي باللغة الإنجليزية في طب العيون,2024-01-14,500000.0
دارة الملك عبدالعزيز,توريد شاشات إعلانات وشاشات تفاعلية وبرامج لافتات رقمية  لدارة الملك عبدالعزيز,2023-12-10,288275.1
دارة الملك عبدالعزيز,توريد شاشات إعلانات وشاشات تفاعلية وبرامج لافتات رقمية  لدارة الملك عبدالعزيز,2023-12-10,288275.1
وزارة الشؤون البلدية والقروية,مركبات دفع رباعي لإدارة الأمن والسلامة,2023-11-21,706284.0
المركز السعودي لكفاءة الطاقة,تقديم خدمات الأمن والسلامة 2024,2023-12-27,1624122.0
البيئة والمياه والزراعة,توريد قطع غيار لمنظومة الجبيل 60012493,2024-02-19,232821.61
البيئة والمياه والزراعة,توريد قطع غيار لمنظومة الجبيل 60012493,2024-02-19,232821.61
مستشفى الملك فيصل التخصصي ومركز الأبحاث,توريد وتركيب اعمال ارضيات فينيل داخل المستشفى الرئيسي بالرياض ,2023-12-25,2796800.0
وزارة الشؤون البلدية والقروية,توريد وتركيب مظلات بانواع واشكال مختلفة,2023-10-31,297160.0
البيئة والمياه والزراعة,تنفيذ أعمال الكشف عن النخيل المصاب بحشرة سوسة النخيل الحمراء بمنطقة الجوف,2024-01-03,6997750.0
البيئة والمياه والزراعة,تنفيذ أعمال الكشف عن النخيل المصاب بحشرة سوسة النخيل الحمراء بمنطقة الجوف,2024-01-03,6997750.0
البيئة والمياه والزراعة,تنفيذ أعمال الكشف عن النخيل المصاب بحشرة سوسة النخيل الحمراء بمنطقة الجوف,2024-01-03,6997750.0
البيئة والمياه والزراعة,تنفيذ أعمال الكشف عن النخيل المصاب بحشرة سوسة النخيل الحمراء بمنطقة الجوف,2024-01-03,6997750.0
وزارة الشؤون البلدية والقروية,اعادة صيانة وتاهيل حواجز خرسانيه مسبقة الصب ( بلدية البصر),2023-12-06,137500.0
وزارة الشؤون البلدية والقروية,صيانة الشوارع وأعمدة الإناره بمدينة جازان والقرى المرتبطة (صيانة الإنارة بقرى بلدية مدينة جيزان المرتبطة) – عقد بديل,2023-12-18,4604600.0
وزارة الشؤون البلدية والقروية,توريد إنجيله طبيعية والتربة الزراعية لأعمال الصيانة,2023-11-07,97175.0
وزارة التعليم,تأمين مكتب مدير ووكيل ومرشد طلابي وخزنة حديد ودولاب ملفات للعام المالي 2023م,2023-11-05,178422.5
وزارة التعليم,تأمين طاولة طالب مع المقعد فئة  ( أ ، ب ، ج),2023-11-29,734850.0
وزارة التعليم,تأمين طاولة طالب مع المقعد فئة  ( أ ، ب ، ج),2023-11-29,734850.0
وزارة الثقافة,تصميم وتنفيذ بوابة النشر الإلكترونية,2024-01-02,1382202.25
وزارة الثقافة,تصميم وتنفيذ بوابة النشر الإلكترونية,2024-01-02,1382202.25
وزارة الثقافة,تصميم وتنفيذ بوابة النشر الإلكترونية,2024-01-02,1382202.25
وزارة الثقافة,تصميم وتنفيذ بوابة النشر الإلكترونية,2024-01-02,1382202.25
وزارة الثقافة,تصميم وتنفيذ بوابة النشر الإلكترونية,2024-01-02,1382202.25
وزارة الثقافة,تصميم وتنفيذ بوابة النشر الإلكترونية,2024-01-02,1382202.25
وزارة الثقافة,تصميم وتنفيذ بوابة النشر الإلكترونية,2024-01-02,1382202.25
وزارة الصحة,مشروع تطوير غرفة خلط المحاليل الوريدية بمستشفى الأمير محمد بن فهد لأمراض الدم الوراثية ,2023-12-11,1822709.75
وزارة الصحة,مشروع تطوير غرفة خلط المحاليل الوريدية بمستشفى الأمير محمد بن فهد لأمراض الدم الوراثية ,2023-12-11,1822709.75
وزارة الشؤون البلدية والقروية,توريد اعمدة إنارة  ديكورية  لبلدية محافظة رياض الخبراء,2024-01-04,763312.5
وزارة التعليم,تأمين وتوريد شاشة LED  ليد للمسرح الرئيسي مبنى رقم 4 بالمدينة الجامعية,2023-11-15,159497.92
الهيئة العامة للترفيه, مشروع صناديق ترحيبية للموظفين الجدد,2023-12-21,133400.0
الهيئة العامة للترفيه, مشروع صناديق ترحيبية للموظفين الجدد,2023-12-21,133400.0
الهيئة العامة للترفيه, مشروع صناديق ترحيبية للموظفين الجدد,2023-12-21,133400.0
الهيئة العامة للترفيه, مشروع صناديق ترحيبية للموظفين الجدد,2023-12-21,133400.0
وزارة الموارد البشرية والتنمية الاجتماعية,ملتقى جمعيات التنمية الأسرية 2023,2023-11-06,479895.0
وزارة الشؤون البلدية والقروية,تامين وتوريد عشب صناعي (بلدية البصر),2023-12-17,222525.0
