الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة
وزاة التجارة,تشغيل وصيانة ونظافة مبنى فرع الوزارة بالاحساء ونظافة مباني فروع ومكاتب الوزارة في كل من الجبيل وحفر الباطن والقطيف والخفجي. (المجموعة الثالثة),2021-08-09,3444121.2
الهيئة العامة للترفيه,تجديد وزيادة رخص ودعم البنية التحتية لتقنية المعلومات لعام 2021م,2021-03-02,623830.15
إدارة التعليم بمحافظة المذنب,عملية توريد وتركيب إنجيلة صناعية بعدد من مدارس البنين,2021-04-05,327750.0
صندوق التنمية السياحي,منافسة مشروع أتمتة الأعمال اليومية بالصندوق,2021-02-15,1955000.0
وزاة التجارة,تشغيل وتطوير مركز اتصال ومعالجة بلاغات المستهلك ,2021-07-29,10000000.0
جامعة الملك عبدالعزيز, أعمال خدمات صيانة وتشغيل الزراعة للجامعة والمركز الطبي بجامعة الملك عبدالعزيز بجدة,2022-09-01,10997212.82
مستشفى الملك فيصل التخصصي ومركز الأبحاث,توريد وتركيب معدات التمرين الرياضية للصالة الرياضية الجديدة للرجﺎل ,2021-07-27,169396.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث,نظام كاميرات المراقبة و التحكم في الصالة الرياضية الجديدة للرجال ,2021-07-27,147409.3
وزارة البيئة والمياه والزراعة,دعم نقل المياه لمحطات التوزيع بواسطة الناقلات,2021-08-19,15940725.0
هيئة الهلال الأحمر السعودي,تأمين الرسائل النصية للخدمات الالكترونية لموقع الهيئة على الانترنت,2021-04-21,808450.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث,استئجار الات لتصوير المستندات بمستشفى الملك فيصل التخصصي ومركز الابحاث,2021-06-02,5319900.0
إدارة التعليم بمنطقة مكة المكرمة,تشغيل وصيانة وإصلاح أجهزة التبريد والتكييف والتدفئية بالمباني التعليمية بإدارة التعليم بمنطقة مكة المكرمة المجموعة الأولى,2021-08-17,5874660.0
