الجهة الرئيسية,اسم المنافسة,تاريخ الترسية,قيمة الترسية
وزارة الشؤون البلدية والقروية,انشاء حديقة نوعية بحي النزهة بمدينة جدة - 17173 ,2024-02-07,34942904.1
وزارة الشؤون البلدية والقروية,إنشاء حديقة نوعية شرق جدة بحي الزمرد - 17177 ,2024-02-20,90403171.0
وزارة الشؤون البلدية والقروية,إنشاء حديقة نوعية شرق جدة بحي الزمرد - 17177 ,2024-02-20,90403171.0
وزارة الشؤون البلدية والقروية,إنشاء حديقة نوعية شرق جدة بحي الزمرد - 17177 ,2024-02-20,90403171.0
وزارة الشؤون البلدية والقروية,إنشاء حديقة نوعية شرق جدة بحي الزمرد - 17177 ,2024-02-20,90403171.0
وزارة الشؤون البلدية والقروية,جسر تقاطع طريق صاري مع طريق المكرونة (دوار الهندسة) - 17182,2023-12-12,96940496.6000001
وزارة الشؤون البلدية والقروية,جسر تقاطع طريق صاري مع طريق المكرونة (دوار الهندسة) - 17182,2023-12-12,96940496.6000001
وزارة الشؤون البلدية والقروية,جسر تقاطع طريق صاري مع طريق المكرونة (دوار الهندسة) - 17182,2023-12-12,96940496.6000001
وزارة الشؤون البلدية والقروية,جسر تقاطع طريق صاري مع طريق المكرونة (دوار الهندسة) - 17182,2023-12-12,96940496.6000001
وزارة الشؤون البلدية والقروية,جسر تقاطع طريق صاري مع طريق المكرونة (دوار الهندسة) - 17182,2023-12-12,96940496.6000001
وزارة الصحة,منافسة الصيانة الطبية لمستشفى الأمير محمد بن عبدالعزيز بالرياض,2024-02-07,51074079.3600002
وزارة الصحة,منافسة الصيانة الطبية لمستشفى الأمير محمد بن عبدالعزيز بالرياض,2024-02-07,51074079.3600002
وزارة الصحة,منافسة الصيانة الطبية لمستشفى الأمير محمد بن عبدالعزيز بالرياض,2024-02-07,51074079.3600002
وزارة الصحة,منافسة الصيانة الطبية لمستشفى الأمير محمد بن عبدالعزيز بالرياض,2024-02-07,51074079.3600002
وزارة الصحة,منافسة الصيانة الطبية لمستشفى الأمير محمد بن عبدالعزيز بالرياض,2024-02-07,51074079.3600002
وزارة الشؤون البلدية والقروية,جسر تقاطع طريق الأمير متعب مع طريق صاري  - 17181 ,2023-12-19,84962000.0
وزارة الشؤون البلدية والقروية,جسر تقاطع طريق الأمير متعب مع طريق صاري  - 17181 ,2023-12-19,84962000.0
وزارة الشؤون البلدية والقروية,جسر تقاطع طريق الأمير متعب مع طريق صاري  - 17181 ,2023-12-19,84962000.0
وزارة الشؤون البلدية والقروية,جسر تقاطع طريق الأمير متعب مع طريق صاري  - 17181 ,2023-12-19,84962000.0
وزارة الشؤون البلدية والقروية,جسر تقاطع طريق الأمير متعب مع طريق صاري  - 17181 ,2023-12-19,84962000.0
وزارة الشؤون البلدية والقروية,جسر تقاطع طريق الأمير ماجد مع طريق صاري - 17186,2024-01-04,91060220.0
وزارة الشؤون البلدية والقروية,جسر تقاطع طريق الأمير ماجد مع طريق صاري - 17186,2024-01-04,91060220.0
وزارة الشؤون البلدية والقروية,جسر تقاطع طريق الأمير ماجد مع طريق صاري - 17186,2024-01-04,91060220.0
وزارة الشؤون البلدية والقروية,جسر تقاطع طريق الأمير ماجد مع طريق صاري - 17186,2024-01-04,91060220.0
وزارة الشؤون البلدية والقروية,جسر تقاطع طريق الأمير ماجد مع طريق صاري - 17186,2024-01-04,91060220.0
وزارة الشؤون البلدية والقروية,تنفيذ جسر ربط طريق المكرونة مع عبد الله السليمان عبر فلسطين 17183,2023-12-17,83988338.6999999
